Streams,Artist Followers,Tempo,Duration (ms)
5173308,5178156,122.008,249080
5150909,35285425,93.989,244005
5116589,2586114,124.993,276480
5110475,411579,134.997,224042
5097187,35285425,124.912,175644
6318660,27142474,134.01,165507
6142975,37106176,81.068,207481
6111108,8758283,93.02,208631
5588217,28909504,149.903,186088
5454994,386757,128.012,204434
5435614,6266514,77.253,209560
5269757,1097789,164.819,148228
5259503,9987114,97.097,210573
5186354,151870,81.026,229601
5173178,3507622,113.326,153338
5068677,2166191,172.024,202307
5041120,608109,164.081,172973
5036030,26769304,100.004,241659
4975786,6080597,179.879,208292
4954679,18191658,95.01,244960
4938180,6475631,174.323,258773
6731106,1724414,89.982,301304
5912293,8640063,77.014,188893
5876058,98503,167.977,254467
5392334,6777818,142.034,146419
5347263,1042079,127.047,302951
5321544,6278835,150.062,236524
5258628,17202,125.994,175238
5234112,8083566,87.971,192621
5135380,47014200,129.642,245897
5029898,558345,95.939,155363
5013017,180454,140.201,123263
5011753,1097789,171.966,140942
5005018,15770302,127.99,169333
4992345,1275345,89.99,210960
4980155,6080597,175.946,231595
4973063,384097,147.897,166216
4965913,3126961,117.496,164896
4938586,12369079,85.03,272394
11756283,6777818,170.691,138312
11380679,6777818,137.131,130980
9889197,6777818,173.456,155293
9503981,6777818,97.672,146482
9142721,6777818,140.223,588139
8884283,6777818,127.596,88625
8218423,6777818,157.181,223719
7917707,6777818,115.852,229565
6988886,6777818,92.463,175123
6503281,8640063,91.942,138293
6268542,6777818,78.958,515865
6034281,6777818,108.07,203588
5527865,8640063,111.076,223560
5424579,11690201,125.983,278191
5393789,8640063,168.995,212947
5362817,8640063,99.008,177373
5341887,1650683,184.339,175924
5203364,29051363,168.169,232253
5108950,100604,150.076,171375
6893939,29051363,93.005,393280
6308369,278679,100.07,186133
5666770,1647262,106.974,210220
5511544,289437,133.888,189933
5430260,14097410,88.967,218210
5246577,14097410,140.021,218802
5220422,29539807,134.021,119133
5189427,4840346,155.057,168729
5145099,6603627,116.971,196653
